Phyla,AveCercozoa,AveChlorophyta,AveChromerida,AveCryptophyta,AveEuglenophyta,AveHaptophyta,AveMiozoa,AveOchrophyta,AvePelagophyta,AveRhodophyta,AveStreptophyta
vFam_236,11.66666667,2.043478261,1,9.5,0,4.111111111,0.8181818182,6.857142857,0,10.14285714,2
vFam_2933,6,6.449275362,6,15.25,1.5,6.666666667,4.363636364,20.19047619,10,5.571428571,2
vFam_4273,5,3.376811594,0,5,0,2.666666667,1.090909091,5.595238095,9,4.571428571,2
vFam_3280,5.666666667,2.550724638,4,6,0,0.6666666667,2.545454545,9.047619048,3,4.571428571,2
vFam_2570,3.333333333,2.188405797,0,7.25,1,3,0.2727272727,4.547619048,3,3.428571429,2
vFam_3355,2.666666667,1.927536232,2,0.25,0.5,2.111111111,1.181818182,6.5,2,2.857142857,2
vFam_4066,4,1.898550725,3,3,2,2.111111111,0.7272727273,2.071428571,7,2.571428571,2
vFam_1943,1.666666667,0.6666666667,1,1,0,0.6666666667,0.09090909091,1.285714286,0,2.428571429,2
vFam_660,2,0.8985507246,0,1.25,0,0.5555555556,0.4545454545,1.642857143,1,2.285714286,2
vFam_3302,0,1.826086957,0,0,0,3,2.181818182,11.0952381,0,2.285714286,2
vFam_167,2.333333333,1.942028986,2,3,0,1.222222222,1.272727273,2.80952381,5,1.857142857,2
vFam_4206,2.666666667,0.9855072464,5,1.75,0,3,0.3636363636,2.666666667,4,1.714285714,2
vFam_4000,3.333333333,1.217391304,2,2,1,1.333333333,1.181818182,2,2,1.142857143,2
vFam_47,2.333333333,0.9855072464,0,1.5,0.5,0.8888888889,0.8181818182,1.80952381,2,1.142857143,2
vFam_4543,0,0.7971014493,2,0,0,1.555555556,0.2727272727,1.5,2,1.142857143,2
vFam_1153,45.66666667,3.130434783,0,19.5,0,54.33333333,4.181818182,5.714285714,7,1,2
vFam_5882,1,0.3333333333,1,0.5,0.5,0.1111111111,0.4545454545,0.2857142857,1,1,2
vFam_4122,0,0.1739130435,0,0,0,0.1111111111,0.4545454545,0.7619047619,1,0.8571428571,2
vFam_3304,2,0.2608695652,0,0,0,0.3333333333,0,0.2142857143,0,0.7142857143,2
vFam_2207,18,3.15942029,20,6.25,0,4.555555556,3.818181818,7.357142857,17,0.5714285714,2
vFam_735,10,2.144927536,15,5,0,2.111111111,2.181818182,5.833333333,16,0,2
vFam_1621,1.333333333,2.550724638,0,2.75,0,4.111111111,3,12.26190476,14,0,2
vFam_462,2,2.971014493,10,36.75,0,7.222222222,3.818181818,19.16666667,11,0,2
vFam_4642,0,0.1594202899,2,0,0,0,0,0.1666666667,0,0,2
vFam_3169,0,0,0,0,0,0.1111111111,0,0,0,0,2
vFam_3987,0.3333333333,5.231884058,3,1.25,11,8.777777778,1.454545455,7.857142857,1,54.85714286,1
vFam_3219,15,7.173913043,7,17.5,1,9.444444444,5.909090909,24.95238095,16,8,1
vFam_4676,2.333333333,2.304347826,2,2,1,1.555555556,0.8181818182,3.214285714,2,5.714285714,1
vFam_2530,2.666666667,1.275362319,0,5,0,0.5555555556,0.1818181818,0.619047619,1,3,1
vFam_3786,2,5.362318841,5,6.25,1,5,0.2727272727,2.833333333,1,2.857142857,1
vFam_4884,1,0.3913043478,1,0.5,0,0,0.3636363636,1.333333333,2,1.571428571,1
vFam_1129,4,1.043478261,1,1,0,0.6666666667,0.9090909091,1.738095238,1,1.571428571,1
vFam_3949,3,1.130434783,0,1.5,0,1,0.7272727273,3.357142857,2,1.428571429,1
vFam_3713,1.333333333,1.68115942,1,0,0,1.222222222,0.4545454545,1.69047619,1,1.428571429,1
vFam_2064,1,0.3913043478,0,0.75,0.5,0.1111111111,0.3636363636,0.8333333333,0,1.428571429,1
vFam_993,4,0.6086956522,1,1,0,0.4444444444,0.9090909091,1.380952381,0,1.285714286,1
vFam_4782,0,0.3188405797,1,0.75,0,0,0.1818181818,0.8333333333,0,1.285714286,1
vFam_883,5.666666667,1.086956522,0,2.75,0,2.111111111,1.363636364,4.642857143,5,1.142857143,1
vFam_238,0.6666666667,0.6376811594,1,0.5,0,0.3333333333,0.2727272727,2.785714286,3,1.142857143,1
vFam_609,2.666666667,0.8260869565,0,0.75,0,1,0.1818181818,2.357142857,0,1.142857143,1
vFam_1233,9,3.15942029,2,8.5,4,66.55555556,1.454545455,25.88095238,18,0.8571428571,1
vFam_1576,1,0.1014492754,10,0,0,0.3333333333,2.363636364,0,1,0.8571428571,1
vFam_1977,1,0.08695652174,10,0,0,0,2.363636364,0,1,0.7142857143,1
vFam_3337,0.6666666667,1.072463768,0,2,0,0.8888888889,1.090909091,2.476190476,2,0.5714285714,1
vFam_215,0.6666666667,0.2608695652,0,0,0,0.1111111111,0.1818181818,0.1666666667,0,0.4285714286,1
vFam_4247,0,0.1014492754,0,0,0,0.2222222222,0.09090909091,0.09523809524,0,0.4285714286,1
vFam_181,0.6666666667,0.768115942,0,4.25,0,2.111111111,1.545454545,1.166666667,0,0.2857142857,1
vFam_445,2,0.4202898551,0,1,0,0.6666666667,0.3636363636,1.904761905,0,0.1428571429,1
vFam_3017,0,0.05797101449,3,1,0,0.2222222222,0.1818181818,0.3095238095,0,0.1428571429,1
vFam_1137,0,1.144927536,0,0,3.5,0,0,0.5714285714,0,0,1
vFam_1426,0,0.4202898551,0,0.5,0,0.3333333333,0.4545454545,0,0,0,1
vFam_3251,0,0.04347826087,0,0,0.5,0,0,0,0,0,1
vFam_3445,0,0.02898550725,0,0,0,0,0,0,0,0,1
vFam_4568,0,0.02898550725,0,0,0,0,0,0,0,0,1
